manufacturer,name,cr,state
Honda,S800 '66,44800,normal
Autobianchi,A112 Abarth '85,31100,normal
Nissan,Silvia Q's (S13) '88,33900,limited
Gran Turismo,UNKNOWN CAR<br>due to server downtime,0,normal
Honda,Civic Type R (EK) '97,51200,limited
Mitsubishi,Lancer Evolution V GSR '98,67100,limited
Honda,S2000 '99,100100,normal
Mitsubishi,Lancer Evolution IV GSR '96,45300,normal
Gran Turismo,UNKNOWN CAR<br>due to server downtime,0,normal
Nissan,R32 GT-R V-spec II '94,176000,normal
Nissan,R34 GT-R V-spec II Nur '02,396900,limited
BMW,Z8 '01,257700,normal
Ferrari,458 Italia '09,249800,soldout
Porsche,911 Carrera RS CS (993) '95,421000,normal
Porsche,911 GT3 (996) '01,157600,limited
