id,cr,state
3422,203800,normal
137,15900,normal
48,107900,normal
1527,13300,normal
1461,56800,normal
204,52800,normal
1044,45100,normal
1796,131000,normal
829,104800,normal
201,27000,normal
3385,217900,normal
3471,73800,limited
211,80100,normal
843,107700,normal
773,178600,normal
688,58600,soldout
3443,166800,normal
1508,179700,soldout
3384,45300,normal
3344,164600,limited
82,194400,normal
3359,140100,normal
1458,34300,normal
489,160400,soldout
1545,315500,normal
1507,310600,normal
1410,302500,normal
1373,102900,normal
293,388400,normal
1402,114400,normal
